Author,Feature,Model,Accuracy,Precision,Recall,F1
AAydintasbas,TFIDF_Word_3gram,SVM,0.3125,0.36363636363636365,0.5,0.42105263157894735
AAydintasbas,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.4,0.25,0.3076923076923077
AHakan,BERT,DecisionTree,0.25416666666666665,0.3333333333333333,0.625,0.43478260869565216
AHakan,BERT,MLP,0.6041666666666666,0.8,0.5,0.6153846153846154
AHakan,BERT,RandomForest,0.5083333333333333,0.8571428571428571,0.75,0.8
AHakan,BERT,SVM,0.4125,0.5,0.375,0.42857142857142855
AHakan,BERT,XGBoost,0.4791666666666667,0.3333333333333333,0.25,0.2857142857142857
AHakan,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.8,1.0,0.8888888888888888
AHakan,TFIDF_Char_2gram,MLP,0.9083333333333333,1.0,1.0,1.0
AHakan,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,0.5833333333333334,0.875,0.7
AHakan,TFIDF_Char_2gram,RandomForest,0.8666666666666667,1.0,1.0,1.0
AHakan,TFIDF_Char_2gram,SVM,0.9,0.8888888888888888,1.0,0.9411764705882353
AHakan,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.875,0.875,0.875
AHakan,TFIDF_Char_3gram,DecisionTree,0.5,1.0,0.625,0.7692307692307693
AHakan,TFIDF_Char_3gram,MLP,0.9083333333333333,1.0,1.0,1.0
AHakan,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,1.0,0.875,0.9333333333333333
AHakan,TFIDF_Char_3gram,RandomForest,0.8958333333333334,1.0,1.0,1.0
AHakan,TFIDF_Char_3gram,SVM,0.8958333333333334,1.0,1.0,1.0
AHakan,TFIDF_Char_3gram,XGBoost,0.825,0.875,0.875,0.875
AHakan,TFIDF_Word_2gram,DecisionTree,0.2125,0.16666666666666666,0.125,0.14285714285714285
AHakan,TFIDF_Word_2gram,MLP,0.5708333333333333,0.5833333333333334,0.875,0.7
AHakan,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5384615384615384,0.875,0.6666666666666666
AHakan,TFIDF_Word_2gram,RandomForest,0.45,0.6666666666666666,0.75,0.7058823529411765
AHakan,TFIDF_Word_2gram,SVM,0.5333333333333333,0.7142857142857143,0.625,0.6666666666666666
AHakan,TFIDF_Word_2gram,XGBoost,0.425,0.625,0.625,0.625
AHakan,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.3333333333333333,0.125,0.18181818181818182
AHakan,TFIDF_Word_3gram,MLP,0.275,1.0,0.25,0.4
AHakan,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.5,0.375,0.42857142857142855
AHakan,TFIDF_Word_3gram,RandomForest,0.2625,1.0,0.25,0.4
AHakan,TFIDF_Word_3gram,SVM,0.3125,0.0,0.0,0.0
AHakan,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.0,0.0,0.0
ATuranAlkan,BERT,DecisionTree,0.25416666666666665,0.0,0.0,0.0
ATuranAlkan,BERT,MLP,0.6041666666666666,0.42857142857142855,0.375,0.4
ATuranAlkan,BERT,RandomForest,0.5083333333333333,0.5,0.25,0.3333333333333333
ATuranAlkan,BERT,SVM,0.4125,0.3333333333333333,0.125,0.18181818181818182
ATuranAlkan,BERT,XGBoost,0.4791666666666667,0.5,0.5,0.5
ATuranAlkan,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,1.0,0.625,0.7692307692307693
ATuranAlkan,TFIDF_Char_2gram,MLP,0.9083333333333333,1.0,1.0,1.0
ATuranAlkan,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,0.75,0.8571428571428571
ATuranAlkan,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.875,0.875,0.875
ATuranAlkan,TFIDF_Char_2gram,SVM,0.9,1.0,1.0,1.0
ATuranAlkan,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.875,0.875,0.875
ATuranAlkan,TFIDF_Char_3gram,DecisionTree,0.5,0.5454545454545454,0.75,0.631578947368421
ATuranAlkan,TFIDF_Char_3gram,MLP,0.9083333333333333,0.875,0.875,0.875
ATuranAlkan,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,1.0,0.25,0.4
ATuranAlkan,TFIDF_Char_3gram,RandomForest,0.8958333333333334,1.0,1.0,1.0
ATuranAlkan,TFIDF_Char_3gram,SVM,0.8958333333333334,1.0,1.0,1.0
ATuranAlkan,TFIDF_Char_3gram,XGBoost,0.825,0.8888888888888888,1.0,0.9411764705882353
ATuranAlkan,TFIDF_Word_2gram,DecisionTree,0.2125,0.16666666666666666,0.125,0.14285714285714285
ATuranAlkan,TFIDF_Word_2gram,MLP,0.5708333333333333,0.5,0.375,0.42857142857142855
ATuranAlkan,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5,0.25,0.3333333333333333
ATuranAlkan,TFIDF_Word_2gram,RandomForest,0.45,0.5,0.25,0.3333333333333333
ATuranAlkan,TFIDF_Word_2gram,SVM,0.5333333333333333,0.4,0.5,0.4444444444444444
ATuranAlkan,TFIDF_Word_2gram,XGBoost,0.425,0.23076923076923078,0.375,0.2857142857142857
ATuranAlkan,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.0,0.0,0.0
ATuranAlkan,TFIDF_Word_3gram,MLP,0.275,0.0,0.0,0.0
ATuranAlkan,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.0,0.0,0.0
ATuranAlkan,TFIDF_Word_3gram,RandomForest,0.2625,0.3333333333333333,0.125,0.18181818181818182
ATuranAlkan,TFIDF_Word_3gram,SVM,0.3125,0.0,0.0,0.0
ATuranAlkan,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.0,0.0,0.0
AYArslan,BERT,DecisionTree,0.25416666666666665,0.2,0.25,0.2222222222222222
AYArslan,BERT,MLP,0.6041666666666666,0.5,0.625,0.5555555555555556
AYArslan,BERT,RandomForest,0.5083333333333333,0.5454545454545454,0.75,0.631578947368421
AYArslan,BERT,SVM,0.4125,0.36363636363636365,0.5,0.42105263157894735
AYArslan,BERT,XGBoost,0.4791666666666667,0.5,0.75,0.6
AYArslan,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.6,0.375,0.46153846153846156
AYArslan,TFIDF_Char_2gram,MLP,0.9083333333333333,0.7777777777777778,0.875,0.8235294117647058
AYArslan,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,0.7777777777777778,0.875,0.8235294117647058
AYArslan,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.875,0.875,0.875
AYArslan,TFIDF_Char_2gram,SVM,0.9,0.7777777777777778,0.875,0.8235294117647058
AYArslan,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.8571428571428571,0.75,0.8
AYArslan,TFIDF_Char_3gram,DecisionTree,0.5,0.4,0.5,0.4444444444444444
AYArslan,TFIDF_Char_3gram,MLP,0.9083333333333333,0.8,1.0,0.8888888888888888
AYArslan,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,0.7272727272727273,1.0,0.8421052631578947
AYArslan,TFIDF_Char_3gram,RandomForest,0.8958333333333334,0.7272727272727273,1.0,0.8421052631578947
AYArslan,TFIDF_Char_3gram,SVM,0.8958333333333334,0.75,0.75,0.75
AYArslan,TFIDF_Char_3gram,XGBoost,0.825,0.5454545454545454,0.75,0.631578947368421
